,pcode,practice,trial,block,questionType,condition,question,PTS,TargetPosition,AccessoryPosition,TNS,T1_hz,T1_amp,T2_hz,T2_amp,P_hz,P_amp,response_dicho,response_rating,response_sdt,rt,P_correct
49,t#jc019,False,34,1,equal,ST2_high_5_a1,P = T2?,Same,2,1,high,96,1.37,132,0.95,132,0.94,No,sure,miss,8.65799331665039,NA
50,t#jc019,False,35,1,equal,ST1_high_4_a2,P = T1?,Same,1,2,high,96,1.38,70,1.65,96,1.39,Yes,sure,hit,1.2395670413970947,NA
51,t#jc019,False,36,1,equal,ST2_high_5_a2,P = T2?,Same,2,2,high,96,1.39,132,0.84,132,0.84,Yes,sure,hit,1.9300079345703125,NA
52,t#jc019,False,37,1,equal,ST1_high_4_a1,P = T1?,Same,1,1,high,96,1.17,70,1.56,96,1.27,Yes,sure,hit,0.9858691692352295,NA
53,t#jc019,False,38,1,equal,ST1_high_5_a1,P = T1?,Same,1,1,high,96,1.32,132,1.01,96,1.32,Yes,sure,hit,1.0670106410980225,NA
54,t#jc019,False,39,1,equal,ST2_high_6_a1,P = T1?,Same,2,1,high,132,0.79,96,1.12,96,1.43,No,sure,cr,0.8700625896453857,NA
55,t#jc019,False,40,1,equal,ST1_low_6_a2,P = T2?,Same,1,2,low,154,0.81,96,1.07,154,0.76,No,quiteSure,cr,1.0954575538635254,NA
56,t#jc019,False,41,1,equal,ST1_low_3_a1,P = T2?,Same,1,1,low,70,1.47,112,1.08,70,1.55,No,sure,cr,1.0914723873138428,NA
57,t#jc019,False,42,1,equal,ST2_high_3_a1,P = T2?,Same,2,1,high,70,1.66,96,1.08,96,1.29,Yes,sure,hit,1.312375783920288,NA
58,t#jc019,False,43,1,equal,ST1_high_6_a2,P = T2?,Same,1,2,high,132,0.91,96,1.15,132,0.86,No,sure,cr,2.141659736633301,NA
59,t#jc019,False,44,1,equal,ST1_high_2_a1,P = T1?,Same,1,1,high,112,1.09,82,1.33,112,1.09,Yes,sure,hit,1.812248706817627,NA
60,t#jc019,False,45,1,equal,ST1_low_5_a1,P = T1?,Same,1,1,low,96,1.07,154,0.78,96,1.23,Yes,sure,hit,1.143822193145752,NA
61,t#jc019,False,46,1,equal,ST1_high_5_a1,P = T2?,Same,1,1,high,96,1.21,132,0.79,96,1.24,No,quiteSure,cr,0.8643515110015869,NA
62,t#jc019,False,47,1,equal,STb_1_a2,P = T2?,Same,0,2,None,60,1.66,60,1.9,60,2.04,Yes,sure,hit,1.1704649925231934,NA
63,t#jc019,False,48,1,equal,ST2_low_6_a1,P = T2?,Same,2,1,low,154,0.72,96,1.22,96,1.38,Yes,quiteSure,hit,1.204984426498413,NA
64,t#jc019,False,49,1,equal,ST2_low_5_a1,P = T2?,Same,2,1,low,96,1.1,154,0.87,154,0.82,No,unsure,miss,1.1497609615325928,NA
65,t#jc019,False,50,1,equal,ST1_low_5_a2,P = T1?,Same,1,2,low,96,1.15,154,0.94,96,1.39,Yes,sure,hit,0.8253095149993896,NA
66,t#jc019,False,51,1,equal,ST2_high_2_a2,P = T1?,Same,2,2,high,112,1.02,82,1.32,82,1.53,No,unsure,cr,2.3541059494018555,NA
67,t#jc019,False,52,1,equal,DT1_high_4_a1,P = T2?,Different,1,1,high,96,1.41,70,1.73,112,0.96,No,quiteSure,cr,2.284169912338257,NA
